RowNames	LILT_GF06_16	LILT_GF12_16	LILT_GF15_16	LILT_GF16_T017	LILT_GF17_16	LILT_GF18_T016	LILT_VF00TL_16	LILT_VF02_T016	LILT_VF04_16	LILT_VF06_16	LILT_VF07_16	LILT_VF10_T016	LILT_VF100_T016	LILT_VF102_T017	LILT_VF107_16	LILT_VF114_T017	LILT_VF120_16	LILT_VF140_T016	LILT_VF145_T017	LILT_VF154_T017	LILT_VF166_T017	LILT_VF170_T016	LILT_VF171_T016	LILT_VF172_T017	LILT_VF174_T017	LILT_VF176_T017	LILT_VF18_T016	LILT_VF189_T016	LILT_VF192_T017	LILT_VF197_T017	LILT_VF206_T016	LILT_VF207_T017	LILT_VF208_T017	LILT_VF212_T016	LILT_VF214_T016	LILT_VF216_T017	LILT_VF217_T017	LILT_VF232_T017	LILT_VF234_T017	LILT_VF251_T017	LILT_VF255_T016	LILT_VF259_T016	LILT_VF261_T016	LILT_VF262_T016	LILT_VF263_T016	LILT_VF264_T017	LILT_VF265_T016	LILT_VF270_T017	LILT_VF273_T017	LILT_VF279_T016	LILT_VF28_T016	LILT_VF281_T017	LILT_VF29_16	LILT_VF30_16	LILT_VF300_T016	LILT_VF301_T016	LILT_VF31_16	LILT_VF32_T016	LILT_VF35_16	LILT_VF37_16	LILT_VF38_16	LILT_VF40_16	LILT_VF43_16	LILT_VF47_16	LILT_VF50_16	LILT_VF55_T017	LILT_VF56_16	LILT_VF60_T016	LILT_VF65_16	LILT_VF66_T017	LILT_VF69_16	LILT_VF70_16	LILT_VF71_16	LILT_VF73_16	LILT_VF77_16	LILT_VF82_T016	LILT_VF84_16	LILT_VF90_16	LILT_VF95_16	LILT_VF97_16
Roseburia hominis	0	1002430	116072	148776	587307	0	20106	55500	185695	575227	0	0	46588	1073777	801734	0	625810	30936	0	602	0	1456166	100212	0	113095	12164	12249	885954	103574	24634	1958	0	0	178465	0	0	4422792	6853	0	19637	613430	0	80280	91981	167572	788650	18373	720125	0	547209	268023	0	150471	0	504297	215230	0	39238	1863	0	66094	45140	0	339953	39231	0	42482	8506	143850	0	11301	0	27920	158912	160804	0	27064	3386773	100592	12358
Eisenbergiella massiliensis	0	625527	251	0	0	29875	0	0	0	13104	0	0	0	0	5139	0	0	0	0	0	211968	31197	994	0	0	19153	0	4263	24252	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	50198	17067	15406	0	0	0	0	0	3552	67231	0	0	0	57691	3996	31828	0	37790	4728	15715	0	0	0	0	3594	0	7586	0	0	24236
Bifidobacterium animalis	0	311641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87770	21637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13788	0	0	0	0	0	0	0
Dialister invisus	0	254573	491382	1213741	298973	0	0	0	0	5599	0	0	0	0	0	0	0	0	58074	0	2225211	0	238790	0	127359	0	296444	146421	31997	0	0	82474	0	228182	0	0	0	0	11635	0	6535	0	300225	0	0	235046	111169	0	0	514145	0	0	0	224762	0	0	0	0	0	0	242515	0	0	317189	0	0	5477	0	0	0	0	0	0	0	0	0	0	26670	0	0
Anaerostipes hadrus	0	242067	0	0	11283	0	0	0	936	866080	0	16406	0	0	793	0	92700	0	0	0	0	19571	22595	0	0	1808	9994	0	0	0	35892	77776	0	0	0	0	0	0	5417	0	9244	0	0	67699	72989	0	65903	0	0	0	52261	0	49243	34023	28454	0	148096	102214	37069	47138	43976	0	0	4045	0	22661	0	7886	0	50329	0	0	3575	32173	291444	0	3508	5170	478	97085
Lawsonibacter asaccharolyticus	0	231033	163759	0	172282	5193	87439	14084	0	0	292068	90435	731242	32131	0	0	37112	101749	656562	0	0	169270	0	331886	190719	158389	72627	130550	85264	13518	0	215141	0	4345	0	0	0	43519	35928	117862	76525	15198	126026	303283	374681	252819	46806	189440	0	81005	602618	396755	330280	293287	216069	49204	82035	61561	515083	283023	89643	162629	70383	319309	350002	348249	17530	234850	16725	206651	19257	35890	7046	115684	9476	20624	111892	42595	0	5949
[Eubacterium] rectale	0	182547	0	84544	0	58602	773670	0	313704	796070	266770	56086	6696	0	482903	0	4054968	15379	0	146	0	0	11269362	7963	18806	570016	265860	4282963	250312	27017	0	478095	0	4097	0	0	0	0	188363	445816	617511	0	195362	501100	600851	794041	1407325	1561526	0	0	78052	0	61625	4560834	3196044	580907	2753652	63686	187899	19264	0	0	171444	100347	0	0	944	883487	0	0	1931748	589251	0	52045	482304	48634	529010	179439	0	26636
Eggerthella lenta	0	180147	2846	0	68527	814013	0	0	6644	0	0	0	0	0	0	0	0	0	0	0	30521	0	134521	19709	3475	10725	283369	0	0	0	0	200503	0	0	0	0	0	0	29722	0	55945	189293	22286	161209	381679	15239	0	0	99138	24042	9745	240291	0	36720	0	0	0	0	0	1532220	0	8088	0	110586	50064	140189	644	14275	0	211436	0	0	89919	139598	0	0	0	317703	51111	18867
Coprococcus comes	0	177424	0	12614	0	0	159975	4241	160798	69104	15907	80637	189888	1531	0	0	771116	2997	15492	0	0	203216	0	36431	22583	0	234638	209237	0	11598	995445	149774	0	18002	0	0	0	4120	729090	3600	22444	0	889	573899	415744	93264	185242	555232	0	0	81125	0	28648	78429	1414822	288504	62810	148527	131774	21325	105205	23489	0	105173	4101	26013	0	0	0	369737	38598	50149	0	181748	487250	0	29019	1072815	243590	50612
Gemmiger formicilis	0	77123	76314	91747	1066888	0	2384513	57513	193456	911603	715948	13174	38982	59501	1055354	0	199748	112345	93263	0	0	766859	0	290755	30591	130054	0	1186110	240967	20781	15971	589501	0	218841	0	0	21804	9128	0	145145	828552	0	0	1094038	1577940	2185555	137716	365710	0	0	630604	0	348674	441063	1314619	370413	756296	85598	227125	377127	63278	363793	48863	472687	316567	68419	0	6555	0	0	1088237	16068	0	520523	22162	32983	58837	470699	10476	102764
Enterocloster citroniae	0	72025	0	0	12191	0	5661	0	0	205313	0	0	4955	772	68478	11366	0	0	4296	0	20131	11476	0	8442	5875	322	0	0	5225	0	54041	0	0	0	0	0	0	0	12323	22208	5039	39620	12226	1923	6291	6077	0	0	76073	7908	1449	28477	0	831002	0	0	0	0	0	0	0	0	712	0	0	7252	0	2011	0	0	0	0	0	7674	0	0	7091	19852	3025	4519
Clostridium sp. CAG:964	0	58074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679021	0	0	0
[Clostridium] scindens	0	58062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5657	0	6585	589	2152	0	0	0	0	0	0	4354	0	0	0	0	0	0	0	0	0	0	0	0	4125	0	0	0	0	0	0	0
Roseburia inulinivorans	0	47156	47673	45419	28178	67190	824539	19704	528248	1000	454129	0	10405	363721	22772685	169158	621827	60209	0	14220	192671	47404	9269	0	39141	13427	75858	15760	2374	81809	3849302	662714	0	401666	0	0	0	5381	1685413	152062	559732	0	7636	663061	759521	29697	434204	7142374	0	302794	1515995	0	855737	308347	18556323	4642766	16574	510776	84430	47947	391627	0	90075	6613643	437948	0	239661	0	0	43405	355611	114700	2081072	121509	2251055	0	1033338	11384619	518107	5559223
Enterocloster lavalensis	0	45918	0	0	14959	0	0	0	5187	3373	0	0	0	1518	0	55751	0	0	44450	0	38762	10135	0	0	0	343	0	8862	4176	1066	0	0	0	0	0	0	0	0	17102	11400	0	84384	0	0	0	17716	0	0	0	3039	19359	0	0	16314	0	0	0	0	0	212787	0	0	0	0	69623	52600	0	6986	3333	0	0	0	0	0	0	0	9602	0	0	10448
Erysipelatoclostridium ramosum	0	21810	0	0	0	1342	0	0	0	0	0	0	0	0	199060	0	0	0	0	0	5019	0	12171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86201	0	0	0	0	440625	0	0
Eubacterium sp. CAG:274	0	19384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4522	0	8976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36231	0	0	0	0	0
Tractidigestivibacter scatoligenes	0	9718	0	971114	0	631410	0	15137	548698	2199	0	27172	0	0	270	0	0	0	0	0	4061	0	0	0	0	0	0	102655	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25593	0	0	471076	0	0	0	0	0	0	0	0	0	0	5510840	0	0	0	3179	0	0	0	0	0
Scardovia wiggsiae	0	5846	0	0	0	28600	0	0	0	0	0	0	1071	0	2047	13183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280892	0	0	0	0	7977	8136	0	0	0	0	0	0	0	393	0	0	0	0	9658	0	0	0	0	37899	9281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus aureus	0	4130	30189	0	0	1139700	0	0	0	8691	26943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium ramulus	0	1833	0	0	45093	0	28765	0	0	0	3000	31141	0	0	126923	0	282049	3025	0	0	0	253710	0	6648	5501	0	0	22897	2309	0	3001968	0	0	7451	0	0	0	0	7487	0	7897	0	0	155941	101062	1619	62786	311706	0	6619	185055	0	98831	1504	357945	75865	4381	31840	0	0	127493	5430	0	28943	0	27502	0	0	0	0	0	2246	0	168546	150652	0	0	71673	92294	51922
Alistipes putredinis	0	0	46956871	17895968	0	803597	27670710	14265	0	58573	3116338	4079	27626129	14266792	0	0	8725570	9705777	27494399	0	0	7654449	46076	2132167	0	2184657	103098596	25054612	10013	18357958	659482	13124052	1841	10345270	0	0	0	29512842	9658090	30390710	4651127	5134463	0	7686082	10637184	14112092	6925495	5396266	464731	205957	12086874	15657453	5347046	10032723	11109408	3382104	7273608	12692602	11055012	670051	5971208	24611821	3060218	2574096	18206020	23525769	0	3133461	4299143	487774	4453837	3404	0	11082744	5933663	3188714	5917443	0	4627082	632889
Prevotella copri	0	0	26186689	20046288	0	0	4288	30655475	0	0	12664139	0	153892	0	1725	0	3582708	0	3988334	12059	0	454869	0	72422217	0	11085597	0	0	0	0	0	0	3444	0	0	0	0	4592975	0	0	0	0	35713366	0	0	0	0	246138	0	0	0	0	4832	0	0	0	0	40781	2848327	135039	0	0	57096308	18930	0	0	203689	16627151	0	0	0	19301364	0	0	2212	36066369	151335	0	0	1670
Eubacterium sp. CAG:180	0	0	10098847	0	0	0	2941532	0	0	0	695130	2544070	0	398168	0	0	1643559	0	3711682	0	0	0	0	0	0	0	0	2433518	4276850	0	0	0	0	187763	0	0	0	336636	0	0	0	0	0	0	0	430813	0	8088644	0	0	18765502	0	10096240	0	3423778	624186	208684	2765266	112072	5278	27421	5940763	0	116570	217263	0	0	0	0	0	3267356	383854	0	0	1827942	0	0	0	0	0
Prevotella sp. CAG:279	0	0	5109915	0	0	0	0	725842	0	0	189434	0	5121266	0	28848	0	786319	0	0	0	0	0	0	0	0	1125488	0	0	0	6318126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3374709	1176296	0	0	1714701	40569	0	0	0	0	0	0	0	1780229	0	0	0	4237846	0	0	0	0	0	0	0	0
Phocaeicola vulgatus	0	0	2097365	2215262	2353812	15190	12471593	55087	5216614	31577855	318314	0	4606292	6939385	16191831	2276804	2254445	99412	3362724	0	3419082	2206785	53404760	303082	3214298	1357573	0	1037038	1955946	3203673	18728404	0	0	2893700	0	0	0	1320024	0	4058631	1728793	315796	0	3931630	3487847	5988356	4534318	6271091	0	4903843	3639065	22788352	2667418	3345765	10001960	2836757	997115	6526556	0	1001580	2362221	8706421	230477	56030671	2123	15402998	40004106	341550	14511	0	4740933	242286	0	2315521	8332989	438541	2071073	0	23889825	32184813
Acidaminococcus intestini	0	0	1655998	0	2016701	0	0	0	0	0	0	0	80428	0	0	2798850	0	0	0	0	0	0	12939870	0	1622298	0	6465564	1729338	610989	0	0	0	0	0	0	0	0	236249	0	0	0	3796395	0	0	0	0	0	1701575	0	10585355	0	545767	0	1677399	1758079	517608	0	0	0	30803	0	0	3167	0	0	0	0	0	0	26754018	5014545	73343	0	0	0	211957	0	0	0	0
Bacteroides sp. CAG:530	0	0	1367762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola coprophilus	0	0	933940	0	0	0	0	0	0	0	0	0	3085074	0	0	0	0	0	0	0	0	0	0	1703203	0	0	16502699	0	0	0	0	0	0	0	0	0	0	521175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella xylaniphila	0	0	842339	0	0	0	0	62644	0	0	30005	0	849272	0	73173	0	639045	0	0	0	0	1387783	0	0	0	0	5455776	142605	0	0	0	0	0	0	0	0	0	232608	0	0	0	0	0	0	0	0	0	0	0	0	944545	0	480911	0	0	0	311799	64032	2722820	58677	0	0	0	0	0	0	0	0	0	0	860586	330261	0	226900	2247860	54251	369884	0	0	0
Collinsella aerofaciens	0	0	643401	428606	217758	39247387	5521050	287856	4502125	1070687	2677822	999470	1128654	151945	3792444	0	494844	306350	521652	2426	0	142204	12503664	167105	431431	143969	6135982	8384409	129151	70602	0	0	0	123428	0	0	0	58942	154506	259708	339307	48016	204842	8419183	13247085	1578176	582756	572948	0	0	422283	192268	159275	2174158	2070082	645694	1458927	1270451	659190	9238607	1718044	109400	16490	3957499	561235	0	404934	1013	227232	2904945	2722846	74819	0	134794	289201	275770	0	0	743777	0
Phocaeicola plebeius	0	0	637777	0	0	6031	0	385732	0	0	0	0	0	0	839266	0	336629	0	0	0	0	1271855	24126	9544496	0	0	0	8531900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101044	0	0	25653175	0	14209735	0	4010294	1446970	0	0	0	23483	0	0	0	0	0	0	0	0	0	0	5546592	178315	0	0	0	0	3724085	0	0	0
Phocaeicola massiliensis	0	0	586173	449852	3173662	0	1334790	0	0	0	51459	0	0	0	0	0	589914	0	0	0	0	149899	0	0	0	0	0	28741	0	0	0	0	0	65786	0	0	0	607	0	779222	278825	0	0	505603	456414	1171479	154219	1836906	0	0	0	0	0	253046	804412	244449	0	0	0	0	2253962	103559	450889	0	0	0	0	0	0	0	570337	0	0	3541251	1731675	0	712879	0	0	1335157
Lachnospira pectinoschiza	0	0	562058	160386	0	0	329670	0	151008	0	468051	0	125583	0	41390	0	12728	0	88232	0	0	0	4936325	0	42660	0	0	13381	50321	0	0	73693	0	182315	0	0	0	0	0	76123	281037	0	0	412439	414848	110961	78932	17545	0	0	0	0	0	0	64952	7567	0	329	8320	3911	0	0	0	0	49216	0	0	0	0	0	3348999	0	0	172727	0	0	0	0	0	7999
Megasphaera sp. DISK 18	0	0	518673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium bifidum	0	0	373364	661441	106154	673730	0	0	11318420	0	0	0	0	0	0	0	1891576	293932	56872	1514663	0	0	1182236	0	0	0	0	5583288	0	0	0	0	0	0	0	0	0	0	890547	113040	713306	0	228634	7199625	13559424	0	0	0	0	0	0	0	0	0	7624846	1876400	0	0	0	0	601232	0	0	870421	0	0	757610	0	0	0	465642	0	0	0	0	0	25375	0	0	0
Bifidobacterium adolescentis	0	0	285774	1640174	0	0	854282	2370353	0	6764987	779429	3597332	3093738	0	0	0	8517926	1727219	266299	63686	0	0	4817951	0	0	0	0	22632622	0	214318	0	0	0	385497	0	0	0	0	0	481171	388660	0	0	850069	3390418	0	136694	189991	0	0	2291443	0	1032225	595738	1338171	381677	12598499	29172	0	0	5389659	0	0	327338	0	0	944	0	181131	0	6308010	0	0	99379	497770	101732	0	0	0	0
Barnesiella intestinihominis	0	0	278587	5493670	823956	0	1166614	0	0	47176	0	2938510	629120	206188	0	0	322657	167757	0	0	0	2513087	0	0	0	1399048	0	170580	0	230026	4048803	0	0	1382444	0	0	0	238524	2087537	1342007	372445	1669479	0	588220	577041	955139	82711	509278	86395	0	1778794	163614	1010217	657902	335128	61981	12746	355947	402751	1348	1555843	3725939	467016	948365	682543	0	0	2330513	78771	0	385541	1204449	17227	1644067	1009885	57483	328303	0	970270	35594
Odoribacter splanchnicus	0	0	242111	1468342	130925	0	170423	41503	0	344614	84022	142726	1508938	96332	0	244916	191809	56774	115663	0	0	1102260	0	0	243316	269856	0	162149	403269	746957	0	284040	0	231713	0	0	0	218260	765296	576854	133532	375080	63923	77756	86499	2840595	172077	403687	59687	0	1595518	349828	919267	67367	1308094	305132	21220	626360	283201	88382	188598	665710	190591	0	77356	0	0	383173	233228	410264	71219	255657	231	401606	677957	53890	445597	161619	2476535	7899
Alistipes shahii	0	0	220167	1640581	769703	1281	535602	24446	434302	967804	244426	6548	3333321	1479526	0	898044	694981	499804	0	0	0	1032561	0	0	0	121356	0	823313	369732	827115	0	1994318	0	156912	0	0	0	156231	0	0	0	109462	0	0	0	787926	84184	605062	135891	0	1970456	130343	818199	1856324	153149	47796	544509	663005	560880	356264	376559	5156926	191596	0	284221	5393588	0	63202	993424	1354884	238205	69598	0	949033	1050939	71963	234520	0	750570	50182
Slackia isoflavoniconvertens	0	0	173301	0	0	32396	0	304605	0	62106	198746	0	1075009	0	62538	0	4755	0	51741	0	0	0	0	0	44722	0	0	507493	75377	29733	0	0	0	0	0	0	0	12636	0	0	0	0	0	0	0	0	240340	21905	0	0	1285637	0	580811	82558	35149	5498	331280	127753	0	0	0	0	0	0	0	0	111049	0	0	0	91568	5467	0	0	8309	0	0	0	54613	0
Parabacteroides distasonis	0	0	159603	844260	492161	0	1748651	16417	0	1109971	234156	201281	841492	220787	221140	3535882	2608647	240151	474649	137	0	2659480	3670508	263980	621545	1342499	1334713	1253844	853693	660377	0	0	0	387110	0	0	67172303	652258	6709545	2120482	1757100	4440990	0	12341078	13227001	3288114	850260	614497	2661950	2947490	2203931	13246613	1329148	1975137	2117289	515156	406088	1292380	1447434	435265	262679	2306143	356636	2072451	685070	788648	1112285	1951635	2177668	0	494006	457927	0	2425269	2282678	385832	76786	0	597786	0
Roseburia faecis	0	0	157141	769949	216394	7816	1279321	114392	549973	0	178450	0	261812	0	103806	0	412028	45736	0	0	0	797423	3788	0	189981	0	517782	419193	43917	121194	4379600	959482	0	1037082	0	0	8188	2361	564919	943645	4744498	0	0	8816788	11168647	1847015	293192	156783	0	0	1020753	0	543015	2803824	2024480	511401	373923	0	118279	2196	1088173	23158	410717	963506	1167076	0	0	0	0	1170879	2275857	1127940	6918	150923	452478	15471	243985	0	0	0
Bacteroides faecis	0	0	142808	0	0	0	259465	0	0	0	0	0	0	0	0	0	298370	0	0	0	0	1223418	26732	355450	0	0	0	394987	0	2138826	0	0	0	0	0	0	0	43911	0	613198	191440	0	0	290586	211198	0	459491	0	0	5458180	331786	3738487	289004	525197	0	0	0	308912	84033	0	0	2036008	0	0	174173	0	0	0	21586	0	0	1048099	766617	0	754626	0	1445152	0	3610183	0
Clostridium sp. CAG:58	0	0	94314	0	0	57242	0	0	0	0	0	0	337285	0	122341	0	137007	0	195411	0	417185	106442	0	0	241441	34632	0	227536	0	0	0	0	0	0	0	0	0	122237	195339	175183	102724	636042	566356	282560	340333	866237	53208	471249	0	0	562605	610925	279561	0	53953	9545	0	193842	0	0	0	0	0	584446	141594	178939	1977	57735	0	0	0	41905	0	253433	16126	30473	53062	0	33544	64220
Holdemania filiformis	0	0	90767	3645	202503	0	334707	0	0	0	23858	0	0	7017	0	0	1578	0	5823	0	3632	0	0	0	1431	28979	3194	0	0	0	0	53478	0	0	0	0	0	1768	0	0	0	25176	0	0	0	148278	7571	34837	0	0	549	0	0	19715	0	0	0	4482	554	0	0	0	0	0	50249	204403	0	18010	78134	0	0	0	2809	5026	2012	0	0	0	0	0
Roseburia intestinalis	0	0	82402	38320	40288	0	3272597	7889	602458	0	104987	0	163668	25282	1642681	450587	0	0	0	0	3531	0	533220	0	3200	300529	0	0	78323	25180	6824647	1841020	0	266661	0	0	0	0	0	394908	466034	0	24428	4721560	4722561	1553927	442386	729084	0	0	95589	0	47829	0	0	0	195720	0	0	0	0	10826	3976	47783	0	916623	0	473987	0	0	976534	71867	0	0	1482744	0	411899	0	0	72568
Bacteroides caccae	0	0	80099	3397540	0	0	0	35307	0	444737	0	0	1620595	58299	211776	1887313	134108	248788	0	0	0	312398	1983960	0	0	167580	3848514	282193	1045382	117360	0	673396	0	490824	0	0	0	2710	392130	87135	7866	0	155638	32476	30589	1701881	42961	356469	19587	1511837	1826271	0	1395531	706043	3201987	815772	96457	115243	48658	4690936	154589	297617	182032	2438445	0	0	0	0	589357	1508761	66358	865332	0	2308842	2792612	29075	385755	0	8905867	0
Victivallis vadensis	0	0	64905	45410	0	0	0	185745	0	0	14626	0	0	553505	0	0	0	0	0	0	0	0	0	0	0	69363	0	331516	0	60398	0	0	0	0	0	0	0	0	32083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133214	65320	59373	0	0	0	0	0	0	0	0	132399	0	0	0	0	0	0	128321	0	0	0	0	0
Enterobacter mori	0	0	57851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides stercoris	0	0	49155	0	5898985	0	0	0	3565084	0	0	0	7833568	359994	172119	0	528147	0	1017726	0	0	53575	0	1189723	0	393098	0	2075081	0	0	4285665	0	3167	0	0	0	0	48748	0	0	0	0	0	0	0	6778834	627522	2875925	6165	24119695	0	48173690	0	2423802	16113847	5019798	1127662	4815987	0	6415	0	837465	0	0	0	0	0	402249	18148	0	3457630	4666	1935720	0	1850473	170278	434336	19003252	0	0
Bacteroides galacturonicus	0	0	40751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21617	0	0	0	0	0	0	0	0	0
Parabacteroides sp. CAG:409	0	0	27807	0	0	0	0	0	0	0	1826	0	16793	0	0	0	12811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1059154	0	0	0
Streptococcus lutetiensis	0	0	25782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35080	0
Parabacteroides merdae	0	0	21666	0	0	1579	0	21956	0	2320439	0	0	2019560	2550832	0	0	470140	82211	2341261	0	0	565084	3004997	953253	0	1525257	0	2080686	2142541	1384317	0	5776169	0	0	0	0	0	405824	0	3629939	1538772	2808394	0	6645971	7004726	0	422326	2120360	24322	1647052	7545121	2245418	4465575	2240081	3377749	889200	0	2037148	1324479	53900	622752	0	399207	0	50209	0	1891969	2290629	97179	2105509	504631	787347	0	0	1267817	101649	458349	0	0	0
Oscillibacter sp. PC13	0	0	21295	0	0	0	541	0	0	0	0	0	12039	0	0	0	0	0	0	0	0	11301	0	0	5990	0	0	0	0	0	0	0	0	0	0	0	0	0	511	7781	1082	0	0	2449	9798	25564	1187	0	0	0	1953	0	0	0	2511	0	0	0	0	7378	0	0	0	0	0	8880	0	0	0	0	0	0	0	0	6804	0	0	0	0	0
Blautia obeum	0	0	20475	0	0	147657	1728	0	0	31793	35501	0	54248	0	0	0	143562	0	8167	0	0	68749	164907	0	0	12455	0	55838	22972	0	155725	10323	0	13253	0	0	0	0	311392	0	13925	0	1806	181227	202454	70729	32071	96379	0	0	1341147	0	859253	37795	460028	186916	13253	55999	45020	31149	192263	420763	0	76080	22360	0	0	22826	0	0	14443	0	0	158346	792163	0	53161	228675	14417	68469
Bilophila wadsworthia	0	0	20051	114439	497349	359728	1748	8296	0	405547	338196	3020	967075	136447	0	150760	155761	47581	320693	0	210992	101254	0	359243	78389	197536	2265037	327828	15454	64206	0	0	0	23613	0	0	0	9248	112745	36830	19125	241461	0	86785	179854	0	119023	158918	746202	1194786	355052	845709	146869	17817	419704	77264	335326	3465	5469	853770	0	381943	18346	0	351463	0	1657429	201763	14350	876528	9166	8879	90270	76181	27246	50273	1111	345311	248276	0
Dorea longicatena	0	0	18675	13004	1290	0	39088	0	0	0	0	104619	288755	0	848176	0	787966	114778	34564	0	0	111081	70686	0	0	11961	49746	289793	0	0	661053	0	0	28219	0	0	0	4846	125157	16426	40042	0	2943	414303	501158	51280	0	458518	0	1098	491116	0	347604	59777	740297	152626	12575	13977	14348	24812	285042	36516	0	861325	0	6416	49714	20694	0	65849	29989	42484	0	69260	1068724	0	16655	502569	81630	98504
Coprobacter secundus	0	0	18278	0	29919	0	0	9343	0	0	890	0	0	0	0	0	6993	0	0	0	0	0	0	7372	0	0	0	0	37372	0	0	0	0	0	0	0	0	0	0	0	0	102140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13659	0	0	0	0	0	0	2446	0	0	0	0	213874	5360	0	0	0	538	0	9800	0	0	0
Roseburia sp. CAG:309	0	0	17417	0	0	0	9616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12372	0	0	15760	0	0	0	0	0	21766	0	0	0	0	0	0	0	0	0	0	0	858674	7630	0	0	0	2546	0	0	0	0	0	0	0	0	0	0	26546	0	0	0	0	0	0	0	0	0	0	0	12635	1597	0	0	0	0	0
Ruminococcus obeum CAG:39	0	0	17060	0	0	0	0	0	0	0	0	0	0	0	0	0	65563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
